  344.89, 1268.59
  345.10, 1268.59
  345.32, 1268.59
  345.53, 1265.58
  345.75, 1264.81
  345.97, 1366.65
  346.18, 1364.79
  346.40, 1366.65
  346.62, 1355.53
  346.83, 1344.66
  347.05, 1351.97
  347.26, 1363.48
  347.48, 1360.94
  347.70, 1378.57
  347.91, 1366.12
  348.13, 1358.54
  348.34, 1360.75
  348.56, 1375.21
  348.78, 1365.03
  348.99, 1366.79
  349.21, 1396.84
  349.42, 1352.36
  349.64, 1386.35
  349.86, 1370.23
  350.07, 1366.96
  350.29, 1379.74
  350.50, 1388.60
  350.72, 1368.10
  350.94, 1372.45
  351.15, 1347.97
  351.37, 1397.43
  351.58, 1372.20
  351.80, 1373.88
  352.02, 1358.66
  352.23, 1368.66
  352.45, 1395.83
  352.66, 1368.00
  352.88, 1362.23
  353.09, 1377.03
  353.31, 1385.51
  353.53, 1362.39
  353.74, 1371.83
  353.96, 1362.70
  354.17, 1376.07
  354.39, 1362.25
  354.60, 1385.39
  354.82, 1370.25
  355.04, 1354.01
  355.25, 1397.86
  355.47, 1364.60
  355.68, 1389.03
  355.90, 1377.46
  356.11, 1377.50
  356.33, 1349.75
  356.54, 1388.36
  356.76, 1360.36
  356.98, 1402.61
  357.19, 1356.66
  357.41, 1385.94
  357.62, 1376.03
  357.84, 1385.84
  358.05, 1371.93
  358.27, 1386.50
  358.48, 1373.92
  358.70, 1388.32
  358.92, 1386.58
  359.13, 1392.93
  359.35, 1360.83
  359.56, 1379.47
  359.78, 1368.43
  359.99, 1404.68
  360.21, 1365.87
  360.42, 1394.52
  360.64, 1376.40
  360.85, 1378.18
  361.07, 1376.23
  361.28, 1372.77
  361.50, 1393.36
  361.71, 1379.23
  361.93, 1357.25
  362.14, 1378.18
  362.36, 1383.28
  362.58, 1374.27
  362.79, 1375.27
  363.01, 1365.30
  363.22, 1376.85
  363.44, 1385.25
  363.65, 1372.51
  363.87, 1363.50
  364.08, 1371.20
  364.30, 1372.02
  364.51, 1364.11
  364.73, 1408.04
  364.94, 1375.83
  365.16, 1372.73
  365.37, 1389.61
  365.59, 1379.45
  365.80, 1370.91
  366.02, 1383.59
  366.23, 1362.90
  366.45, 1381.21
  366.66, 1374.08
  366.88, 1380.76
  367.09, 1360.51
  367.31, 1394.83
  367.52, 1362.55
  367.74, 1367.31
  367.95, 1383.38
  368.17, 1364.32
  368.38, 1389.94
  368.60, 1398.82
  368.81, 1370.73
  369.03, 1380.99
  369.24, 1363.25
  369.46, 1377.87
  369.67, 1384.65
  369.88, 1399.87
  370.10, 1377.50
  370.31, 1388.40
  370.53, 1391.35
  370.74, 1383.91
  370.96, 1368.33
  371.17, 1363.19
  371.39, 1363.25
  371.60, 1387.79
  371.82, 1373.49
  372.03, 1375.62
  372.25, 1365.18
  372.46, 1368.96
  372.68, 1358.09
  372.89, 1381.97
  373.10, 1360.22
  373.32, 1374.17
  373.53, 1380.19
  373.75, 1374.88
  373.96, 1371.95
  374.18, 1407.98
  374.39, 1398.03
  374.61, 1378.69
  374.82, 1393.29
  375.04, 1349.96
  375.25, 1366.45
  375.46, 1384.61
  375.68, 1346.07
  375.89, 1393.62
  376.11, 1386.25
  376.32, 1385.53
  376.54, 1377.01
  376.75, 1366.73
  376.96, 1371.42
  377.18, 1383.63
  377.39, 1401.86
  377.61, 1384.14
  377.82, 1362.88
  378.04, 1393.29
  378.25, 1402.86
  378.46, 1396.02
  378.68, 1387.40
  378.89, 1379.53
  379.11, 1379.47
  379.32, 1413.20
  379.54, 1367.88
  379.75, 1409.00
  379.96, 1365.79
  380.18, 1379.78
  380.39, 1392.29
  380.61, 1367.47
  380.82, 1374.66
  381.03, 1380.72
  381.25, 1371.95
  381.46, 1376.52
  381.68, 1387.70
  381.89, 1357.58
  382.11, 1376.28
  382.32, 1383.69
  382.53, 1362.25
  382.75, 1385.53
  382.96, 1362.68
  383.18, 1389.01
  383.39, 1375.83
  383.60, 1372.57
  383.82, 1389.28
  384.03, 1348.16
  384.24, 1387.54
  384.46, 1381.11
  384.67, 1379.49
  384.89, 1381.83
  385.10, 1369.76
  385.31, 1385.90
  385.53, 1354.92
  385.74, 1377.89
  385.96, 1352.81
  386.17, 1387.58
  386.38, 1387.64
  386.60, 1388.34
  386.81, 1358.79
  387.02, 1390.53
  387.24, 1373.47
  387.45, 1380.78
  387.67, 1395.96
